COUNTRY,CITY,LOCATION,PARAMETER
IN,Gaya,Collectorate - Gaya - BSPCB,no2
IN,Gaya,Collectorate - Gaya - BSPCB,o3
IN,Gaya,Collectorate - Gaya - BSPCB,pm25
IN,Gaya,Collectorate - Gaya - BSPCB,co
IN,Gaya,Collectorate - Gaya - BSPCB,pm10
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",so2
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",no2
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",o3
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",pm25
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",co
IN,Delhi,"NSIT Dwarka, Delhi - CPCB",pm10
IN,Delhi,"IHBAS, Delhi - CPCB",so2
IN,Delhi,"IHBAS, Delhi - CPCB",no2
IN,Delhi,"IHBAS, Delhi - CPCB",o3
IN,Delhi,"IHBAS, Delhi - CPCB",pm25
IN,Delhi,"IHBAS, Delhi - CPCB",co
IN,Delhi,"IHBAS, Delhi - CPCB",pm10
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",so2
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",no2
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",o3
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",pm25
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",co
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",pm10
IN,Bengaluru,City Railway Station - KSPCB,so2
IN,Bengaluru,City Railway Station - KSPCB,no2
IN,Bengaluru,City Railway Station - KSPCB,o3
IN,Bengaluru,City Railway Station - KSPCB,pm25
IN,Bengaluru,City Railway Station - KSPCB,co
IN,Bengaluru,City Railway Station - KSPCB,pm10
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",so2
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",no2
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",o3
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",pm25
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",co
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB",pm10
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",so2
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",no2
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",o3
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",pm25
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",co
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",pm10
IN,Chandrapur,Chandrapur,so2
IN,Chandrapur,Chandrapur,no2
IN,Chandrapur,Chandrapur,o3
IN,Chandrapur,Chandrapur,pm25
IN,Chandrapur,Chandrapur,co
IN,Chandrapur,Chandrapur,pm10
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",so2
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",no2
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",o3
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",pm25
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",co
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",pm10
IN,Solapur,Maharashtra Pollution Control Board - Solapur,so2
IN,Solapur,Maharashtra Pollution Control Board - Solapur,no2
IN,Solapur,Maharashtra Pollution Control Board - Solapur,o3
IN,Solapur,Maharashtra Pollution Control Board - Solapur,pm25
IN,Solapur,Maharashtra Pollution Control Board - Solapur,co
IN,Solapur,Maharashtra Pollution Control Board - Solapur,pm10
IN,Amritsar,"Golden Temple,Amritsar - PPCB",so2
IN,Amritsar,"Golden Temple,Amritsar - PPCB",no2
IN,Amritsar,"Golden Temple,Amritsar - PPCB",o3
IN,Amritsar,"Golden Temple,Amritsar - PPCB",pm25
IN,Amritsar,"Golden Temple,Amritsar - PPCB",co
IN,Amritsar,"Golden Temple,Amritsar - PPCB",pm10
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",so2
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",no2
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",o3
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",pm25
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",co
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",pm10
IN,Jodhpur,Collectorate Jodhpur - RSPCB,so2
IN,Jodhpur,Collectorate Jodhpur - RSPCB,no2
IN,Jodhpur,Collectorate Jodhpur - RSPCB,o3
IN,Jodhpur,Collectorate Jodhpur - RSPCB,pm25
